Day,Sales,Trading Profit,Operating Expense,Net Profit,
0,0,0,0,0,
1,0,0,12600,-12600,-12600
2,0,0,154560,-154560,-141960
3,0,0,245920,-245920,-91360
4,0,0,281780,-281780,-35860
5,72436,30761,349695,-318934,-37154
6,172960,113430,406960,-293530,25404
7,174960,57968,514138,-456170,-162640
8,179381,55746,590890,-535144,-78974
9,246092,85108,638688,-553580,-18436
10,867135,482085,725177,-243092,310488
11,2145575,961808,792828,168980,412072
12,2332769,1100723,841438,259285,90305
13,3561737,1478679,979777,498902,239617
14,3740013,1622432,1025395,597037,98135
15,3764616,1643502,1195613,447889,-149148
16,4323313,1782009,1251548,530461,82572
17,4385635,1736609,1307235,429374,-101087
18,5149724,1915747,1364648,551099,121725
19,5223708,1953095,1484069,469026,-82073
20,5252151,1977412,1573723,403689,-65337
21,5346685,2008292,1642989,365303,-38386
22,5529051,2042216,1704997,337219,-28084
23,6253818,2237633,1765343,472290,135071
24,6347184,2296200,1825769,470431,-1859
25,6498704,2372024,1916448,455576,-14855
26,6589845,2425718,1986849,438869,-16707
27,7544346,2696005,2050355,645650,206781
28,7647670,2768336,2111689,656647,10997
29,7757398,2839374,2173025,666349,9702
30,7873949,2887088,2264693,622395,-43954
31,8236643,3001296,2325594,675702,53307
32,8295379,3033295,2452621,580674,-95028
33,8741389,3228902,2530808,698094,117420
34,8893017,3360123,2605563,754560,56466
35,9510464,3623141,2704949,918192,163632
36,9692255,3785759,2774222,1011537,93345
37,9967575,4026353,2845550,1180803,169266
38,10187908,4191639,2915619,1276020,95217
39,10415062,4374908,2982435,1392473,116453
40,10594415,4510765,3084786,1425979,33506
41,10743724,4617670,3158763,1458907,32928
42,11279531,4667726,3302502,1365224,-93683
43,12047429,4891927,3373214,1518713,153489
44,13712039,5457621,3495210,1962411,443698
45,14292823,5691896,3614543,2077353,114942
46,14609309,5972475,3704930,2267545,190192
47,14789201,6100342,3796588,2303754,36209
48,15022928,6294215,3887881,2406334,102580
49,15750008,6542337,3988535,2553802,147468
50,15972140,6717131,4111406,2605725,51923
51,16104088,6832423,4204815,2627608,21883
52,16324401,7025119,4277613,2747506,119898
53,16486424,7149791,4358936,2790855,43349
54,16682854,7282502,4436119,2846383,55528
55,16957085,7508595,4541524,2967071,120688
56,17440934,7794687,4619798,3174889,207818
57,17745219,8068441,4695514,3372927,198038
58,18191225,8349750,4773301,3576449,203522
59,18336402,8472969,4847139,3625830,49381
60,18471534,8595324,4953100,3642224,16394
61,18703181,8806487,5035929,3770558,128334
62,19255447,9061775,5153089,3908686,138128
63,19438643,9194289,5224459,3969830,61144
64,19605594,9343967,5291721,4052246,82416
65,20029637,9540921,5393208,4147713,95467
66,20226055,9703837,5462624,4241213,93500
67,20661927,9887712,5547098,4340614,99401
68,20826130,10010817,5622616,4388201,47587
69,21542368,10138151,5707623,4430528,42327
70,22133211,10256745,5807807,4448938,18410
71,22318005,10425025,5877222,4547803,98865
72,22511507,10600267,5946626,4653641,105838
73,22739913,10795033,6015914,4779119,125478
74,23119101,11121335,6089325,5032010,252891
75,23363325,11331323,6210253,5121070,89060
76,23587076,11527269,6282451,5244818,123748
77,23821152,11733267,6352409,5380858,136040
78,24544787,12185141,6428315,5756826,375968
79,25333763,12707718,6502439,6205279,448453
80,25787269,13113875,6602696,6511179,305900
81,26167986,13462167,6695448,6766719,255540
82,26871264,13784113,6767296,7016817,250098
83,27120938,13996918,6841161,7155757,138940
84,27824401,14261517,6913054,7348463,192706
85,28067201,14470498,7019427,7451071,102608
86,29173763,14843491,7099506,7743985,292914
87,29781676,15122409,7174173,7948236,204251
88,30035671,15327350,7266539,8060811,112575
89,30721214,15607348,7362838,8244510,183699
90,31060948,15882292,7472302,8439990,195480